date,day_of_week,month,is_holiday,promotion_active
2026-05-01,4,5,0,0
2026-05-02,5,5,0,0
2026-05-03,6,5,0,1
2026-05-04,0,5,0,0
2026-05-05,1,5,0,0
2026-05-06,2,5,0,0
2026-05-07,3,5,0,0
2026-05-08,4,5,0,0
2026-05-09,5,5,0,1
2026-05-10,6,5,0,1
2026-05-11,0,5,0,0
2026-05-12,1,5,0,0
2026-05-13,2,5,0,0
2026-05-14,3,5,0,0
2026-05-15,4,5,0,0
2026-05-16,5,5,0,0
2026-05-17,6,5,0,0
2026-05-18,0,5,0,0
2026-05-19,1,5,0,0
2026-05-20,2,5,0,0
2026-05-21,3,5,0,0
2026-05-22,4,5,0,0
2026-05-23,5,5,0,0
2026-05-24,6,5,0,1
2026-05-25,0,5,1,0
2026-05-26,1,5,0,0
2026-05-27,2,5,0,0
2026-05-28,3,5,0,0
2026-05-29,4,5,0,0
2026-05-30,5,5,0,1
2026-05-31,6,5,0,1
2026-06-01,0,6,0,0
2026-06-02,1,6,0,0
2026-06-03,2,6,0,0
2026-06-04,3,6,0,0
2026-06-05,4,6,0,0
2026-06-06,5,6,0,0
2026-06-07,6,6,0,1
2026-06-08,0,6,0,0
2026-06-09,1,6,0,0
2026-06-10,2,6,0,0
2026-06-11,3,6,0,0
2026-06-12,4,6,0,0
2026-06-13,5,6,0,1
2026-06-14,6,6,0,0
2026-06-15,0,6,0,0
2026-06-16,1,6,0,0
2026-06-17,2,6,0,0
2026-06-18,3,6,0,0
2026-06-19,4,6,0,0
2026-06-20,5,6,0,0
2026-06-21,6,6,0,0
2026-06-22,0,6,0,0
2026-06-23,1,6,0,0
2026-06-24,2,6,0,0
2026-06-25,3,6,0,0
2026-06-26,4,6,0,0
2026-06-27,5,6,0,0
2026-06-28,6,6,0,1
2026-06-29,0,6,0,0
2026-06-30,1,6,0,0
2026-07-01,2,7,0,0
2026-07-02,3,7,0,0
2026-07-03,4,7,0,0
2026-07-04,5,7,1,0
2026-07-05,6,7,0,0
2026-07-06,0,7,0,0
2026-07-07,1,7,0,0
2026-07-08,2,7,0,0
2026-07-09,3,7,0,0
2026-07-10,4,7,0,0
2026-07-11,5,7,0,1
2026-07-12,6,7,0,0
2026-07-13,0,7,0,0
2026-07-14,1,7,0,0
2026-07-15,2,7,0,0
2026-07-16,3,7,0,0
2026-07-17,4,7,0,0
2026-07-18,5,7,0,0
2026-07-19,6,7,0,0
2026-07-20,0,7,0,0
2026-07-21,1,7,0,0
2026-07-22,2,7,0,0
2026-07-23,3,7,0,0
2026-07-24,4,7,0,0
2026-07-25,5,7,0,0
2026-07-26,6,7,0,1
2026-07-27,0,7,0,0
2026-07-28,1,7,0,0
2026-07-29,2,7,0,0
2026-07-30,3,7,0,0
2026-07-31,4,7,0,0
2026-08-01,5,8,0,0
2026-08-02,6,8,0,1
2026-08-03,0,8,0,0
2026-08-04,1,8,0,0
2026-08-05,2,8,0,0
2026-08-06,3,8,0,0
2026-08-07,4,8,0,0
2026-08-08,5,8,0,1
2026-08-09,6,8,0,0
2026-08-10,0,8,0,0
2026-08-11,1,8,0,0
2026-08-12,2,8,0,0
2026-08-13,3,8,0,0
2026-08-14,4,8,0,0
2026-08-15,5,8,0,1
2026-08-16,6,8,0,0
2026-08-17,0,8,0,0
2026-08-18,1,8,0,0
2026-08-19,2,8,0,0
2026-08-20,3,8,0,0
2026-08-21,4,8,0,0
2026-08-22,5,8,0,0
2026-08-23,6,8,0,1
2026-08-24,0,8,0,0
2026-08-25,1,8,0,0
2026-08-26,2,8,0,0
2026-08-27,3,8,0,0
