date,sku_id,stock_on_hand,stock_on_order
2026-05-01,SKU_REORDER,20,0
2026-05-01,SKU_CLEAR,150,0
2026-05-01,SKU_WATCH,60,40
2026-05-01,SKU_HEALTHY,50,0
2026-05-02,SKU_REORDER,20,0
2026-05-02,SKU_CLEAR,150,0
2026-05-02,SKU_WATCH,60,40
2026-05-02,SKU_HEALTHY,50,0
2026-05-03,SKU_REORDER,20,0
2026-05-03,SKU_CLEAR,150,0
2026-05-03,SKU_WATCH,60,40
2026-05-03,SKU_HEALTHY,50,0
2026-05-04,SKU_REORDER,20,0
2026-05-04,SKU_CLEAR,150,0
2026-05-04,SKU_WATCH,60,40
2026-05-04,SKU_HEALTHY,50,0
2026-05-05,SKU_REORDER,20,0
2026-05-05,SKU_CLEAR,150,0
2026-05-05,SKU_WATCH,60,40
2026-05-05,SKU_HEALTHY,50,0
2026-05-06,SKU_REORDER,20,0
2026-05-06,SKU_CLEAR,150,0
2026-05-06,SKU_WATCH,60,40
2026-05-06,SKU_HEALTHY,50,0
2026-05-07,SKU_REORDER,20,0
2026-05-07,SKU_CLEAR,150,0
2026-05-07,SKU_WATCH,60,40
2026-05-07,SKU_HEALTHY,50,0
2026-05-08,SKU_REORDER,20,0
2026-05-08,SKU_CLEAR,150,0
2026-05-08,SKU_WATCH,60,40
2026-05-08,SKU_HEALTHY,50,0
2026-05-09,SKU_REORDER,20,0
2026-05-09,SKU_CLEAR,150,0
2026-05-09,SKU_WATCH,60,40
2026-05-09,SKU_HEALTHY,50,0
2026-05-10,SKU_REORDER,20,0
2026-05-10,SKU_CLEAR,150,0
2026-05-10,SKU_WATCH,60,40
2026-05-10,SKU_HEALTHY,50,0
2026-05-11,SKU_REORDER,20,0
2026-05-11,SKU_CLEAR,150,0
2026-05-11,SKU_WATCH,60,40
2026-05-11,SKU_HEALTHY,50,0
2026-05-12,SKU_REORDER,20,0
2026-05-12,SKU_CLEAR,150,0
2026-05-12,SKU_WATCH,60,40
2026-05-12,SKU_HEALTHY,50,0
2026-05-13,SKU_REORDER,20,0
2026-05-13,SKU_CLEAR,150,0
2026-05-13,SKU_WATCH,60,40
2026-05-13,SKU_HEALTHY,50,0
2026-05-14,SKU_REORDER,20,0
2026-05-14,SKU_CLEAR,150,0
2026-05-14,SKU_WATCH,60,40
2026-05-14,SKU_HEALTHY,50,0
2026-05-15,SKU_REORDER,20,0
2026-05-15,SKU_CLEAR,150,0
2026-05-15,SKU_WATCH,60,40
2026-05-15,SKU_HEALTHY,50,0
2026-05-16,SKU_REORDER,20,0
2026-05-16,SKU_CLEAR,150,0
2026-05-16,SKU_WATCH,60,40
2026-05-16,SKU_HEALTHY,50,0
2026-05-17,SKU_REORDER,20,0
2026-05-17,SKU_CLEAR,150,0
2026-05-17,SKU_WATCH,60,40
2026-05-17,SKU_HEALTHY,50,0
2026-05-18,SKU_REORDER,20,0
2026-05-18,SKU_CLEAR,150,0
2026-05-18,SKU_WATCH,60,40
2026-05-18,SKU_HEALTHY,50,0
2026-05-19,SKU_REORDER,20,0
2026-05-19,SKU_CLEAR,150,0
2026-05-19,SKU_WATCH,60,40
2026-05-19,SKU_HEALTHY,50,0
2026-05-20,SKU_REORDER,20,0
2026-05-20,SKU_CLEAR,150,0
2026-05-20,SKU_WATCH,60,40
2026-05-20,SKU_HEALTHY,50,0
2026-05-21,SKU_REORDER,20,0
2026-05-21,SKU_CLEAR,150,0
2026-05-21,SKU_WATCH,60,40
2026-05-21,SKU_HEALTHY,50,0
2026-05-22,SKU_REORDER,20,0
2026-05-22,SKU_CLEAR,150,0
2026-05-22,SKU_WATCH,60,40
2026-05-22,SKU_HEALTHY,50,0
2026-05-23,SKU_REORDER,20,0
2026-05-23,SKU_CLEAR,150,0
2026-05-23,SKU_WATCH,60,40
2026-05-23,SKU_HEALTHY,50,0
2026-05-24,SKU_REORDER,20,0
2026-05-24,SKU_CLEAR,150,0
2026-05-24,SKU_WATCH,60,40
2026-05-24,SKU_HEALTHY,50,0
2026-05-25,SKU_REORDER,20,0
2026-05-25,SKU_CLEAR,150,0
2026-05-25,SKU_WATCH,60,40
2026-05-25,SKU_HEALTHY,50,0
2026-05-26,SKU_REORDER,20,0
2026-05-26,SKU_CLEAR,150,0
2026-05-26,SKU_WATCH,60,40
2026-05-26,SKU_HEALTHY,50,0
